hq_id,inv_id,inv_name
121406,121406,supplier1
183152,183152,supplier1
225944,225944,supplier1
252640,252640,supplier1
414792,414792,supplier1
227,227,supplier3
164416,164416,supplier4
227280,227280,supplier3
274265,274265,supplier4
1247718,1247718,supplier4
1513648,1513648,supplier4
1590248,1590248,supplier4
253262,253262,supplier1
494304,494304,supplier1
174569,174569,supplier1
193256,193256,supplier1
222490,222490,supplier1
375470,375470,supplier1
208658,208658,supplier1
225094,225094,supplier1
136283,136283,supplier1
227950,227950,supplier1
108021,108021,supplier1
109477,109477,supplier1
132774,132774,supplier1
341141,341141,supplier1
361898,361898,supplier1
1432,1432,supplier3
4604,4604,supplier3
16674,16674,supplier3
22996,22996,supplier3
25260,25260,supplier3
37206,37206,supplier3
127235,127235,supplier3
222156,222156,supplier4
260555,260555,supplier4
1035298,1035298,supplier4
1207048,1207048,supplier4
1709288,1709288,supplier4
143777,143777,supplier1
125904,125904,supplier1
194608,194608,supplier1
234336,234336,supplier1
116325,116325,supplier1
251414,251414,supplier1
435165,435165,supplier1
467909,467909,supplier1
117221,117221,supplier1
115757,115757,supplier1
119021,119021,supplier1
123131,123131,supplier1
192413,192413,supplier1
216251,216251,supplier1
10798,10798,supplier3
13569,13569,supplier3
3519,3519,supplier3
4011,4011,supplier3
25199,25199,supplier3
26266,26266,supplier3
38954,38954,supplier3
41966,41966,supplier3
47149,47149,supplier3
193546,193546,supplier4
233126,233126,supplier4
234246,234246,supplier4
2041115,2041115,supplier4
449661,449661,supplier1
488424,488424,supplier1
124034,124034,supplier1
195927,195927,supplier1
237773,237773,supplier1
271643,271643,supplier1
376750,376750,supplier1
117721,117721,supplier1
206043,206043,supplier1
348249,348249,supplier1
396480,396480,supplier1
10266,10266,supplier3
11711,11711,supplier3
1267,1267,supplier3
20653,20653,supplier3
27319,27319,supplier3
42851,42851,supplier3
118702,118702,supplier4
190636,190636,supplier4
193876,193876,supplier4
234990,234990,supplier3
347645,347645,supplier4
1059108,1059108,supplier4
1097838,1097838,supplier4
1181708,1181708,supplier4
1382568,1382568,supplier4
1517788,1517788,supplier4
2044885,2044885,supplier4
226275,226275,supplier1
135008,135008,supplier1
562544,562544,supplier1
115694,115694,supplier1
216935,216935,supplier1
117531,117531,supplier1
210462,210462,supplier1
460053,460053,supplier1
202952,202952,supplier1
11906,11906,supplier3
2102,2102,supplier3
33303,33303,supplier3
46319,46319,supplier3
100218,100218,supplier3
127658,127658,supplier3
215806,215806,supplier4
246137,246137,supplier3
373035,373035,supplier4
1118378,1118378,supplier4
1137198,1137198,supplier4
1236688,1236688,supplier4
1701868,1701868,supplier4
140815,140815,supplier1
224988,224988,supplier1
370626,370626,supplier1
112826,112826,supplier1
134945,134945,supplier1
227961,227961,supplier1
137895,137895,supplier1
176408,176408,supplier1
349288,349288,supplier1
491771,491771,supplier1
38727,38727,supplier3
41374,41374,supplier3
158095,158095,supplier3
1084718,1084718,supplier4
1631868,1631868,supplier4
1877235,1877235,supplier4
577705,577705,supplier1
578455,578455,supplier1
165006,165006,supplier1
429007,429007,supplier1
205295,205295,supplier1
225443,225443,supplier1
366966,366966,supplier1
227246,227246,supplier1
396255,396255,supplier1
112869,112869,supplier1
25797,25797,supplier3
37029,37029,supplier3
43310,43310,supplier3
199956,199956,supplier4
229482,229482,supplier3
229626,229626,supplier3
235204,235204,supplier3
291329,291329,supplier3
355325,355325,supplier4
417455,417455,supplier4
1428218,1428218,supplier4
1440978,1440978,supplier4
2004595,2004595,supplier4
268371,268371,supplier1
328009,328009,supplier1
413512,413512,supplier1
237069,237069,supplier1
598405,598405,supplier1
131676,131676,supplier1
117856,117856,supplier1
124353,124353,supplier1
134983,134983,supplier1
203946,203946,supplier1
117658,117658,supplier1
164552,164552,supplier1
187579,187579,supplier1
216910,216910,supplier1
12277,12277,supplier3
22090,22090,supplier3
130884,130884,supplier4
141824,141824,supplier4
188362,188362,supplier3
198916,198916,supplier4
274005,274005,supplier4
1048278,1048278,supplier4
1224658,1224658,supplier4
235084,235084,supplier1
447129,447129,supplier1
512983,512983,supplier1
247087,247087,supplier1
109782,109782,supplier1
123114,123114,supplier1
128333,128333,supplier1
257089,257089,supplier1
133977,133977,supplier1
234461,234461,supplier1
233541,233541,supplier1
25134,25134,supplier3
50316,50316,supplier3
54861,54861,supplier3
233026,233026,supplier4
473925,473925,supplier4
1034408,1034408,supplier4
1176238,1176238,supplier4
1926375,1926375,supplier4
471737,471737,supplier1
116771,116771,supplier1
210422,210422,supplier1
210763,210763,supplier1
377505,377505,supplier1
204096,204096,supplier1
225253,225253,supplier1
234530,234530,supplier1
425590,425590,supplier1
107236,107236,supplier1
107507,107507,supplier1
122479,122479,supplier1
125877,125877,supplier1
132286,132286,supplier1
163310,163310,supplier1
252786,252786,supplier1
1378,1378,supplier3
191566,191566,supplier4
193676,193676,supplier4
216376,216376,supplier4
297735,297735,supplier3
1023948,1023948,supplier4
1063498,1063498,supplier4
1102368,1102368,supplier4
1158578,1158578,supplier4
1165088,1165088,supplier4
1622188,1622188,supplier4
126491,126491,supplier1
205927,205927,supplier1
242893,242893,supplier1
307984,307984,supplier1
553577,553577,supplier1
141218,141218,supplier1
177745,177745,supplier1
241398,241398,supplier1
214631,214631,supplier1
267183,267183,supplier1
222022,222022,supplier1
237195,237195,supplier1
4398,4398,supplier3
16549,16549,supplier3
25666,25666,supplier3
218196,218196,supplier4
228535,228535,supplier3
228872,228872,supplier3
280975,280975,supplier4
1097168,1097168,supplier4
1441868,1441868,supplier4
1467358,1467358,supplier4
1672998,1672998,supplier4
176388,176388,supplier1
228771,228771,supplier1
112329,112329,supplier1
176691,176691,supplier1
223039,223039,supplier1
250184,250184,supplier1
295955,295955,supplier1
318101,318101,supplier1
441064,441064,supplier1
120287,120287,supplier1
375346,375346,supplier1
118534,118534,supplier1
127645,127645,supplier1
457311,457311,supplier1
461291,461291,supplier1
10302,10302,supplier3
18565,18565,supplier3
19584,19584,supplier3
25326,25326,supplier3
231886,231886,supplier4
459165,459165,supplier4
1163158,1163158,supplier4
1188298,1188298,supplier4
1749568,1749568,supplier4
578481,578481,supplier1
208168,208168,supplier1
235561,235561,supplier1
240134,240134,supplier1
236675,236675,supplier1
138148,138148,supplier1
206400,206400,supplier1
122804,122804,supplier1
141646,141646,supplier1
265625,265625,supplier1
13125,13125,supplier3
1989,1989,supplier3
21979,21979,supplier3
226486,226486,supplier4
253072,253072,supplier3
279145,279145,supplier4
563705,563705,supplier4
1225948,1225948,supplier4
1465338,1465338,supplier4
1518108,1518108,supplier4
1625438,1625438,supplier4
1785108,1785108,supplier4
1896595,1896595,supplier4
345978,345978,supplier1
407630,407630,supplier1
578446,578446,supplier1
139319,139319,supplier1
167440,167440,supplier1
138003,138003,supplier1
109428,109428,supplier1
236391,236391,supplier1
264221,264221,supplier1
113974,113974,supplier1
11506,11506,supplier3
12397,12397,supplier3
7276,7276,supplier3
23661,23661,supplier3
115512,115512,supplier4
241457,241457,supplier3
296609,296609,supplier3
1477458,1477458,supplier4
1695498,1695498,supplier4
1887995,1887995,supplier4
260266,260266,supplier1
199408,199408,supplier1
315848,315848,supplier1
178780,178780,supplier1
105960,105960,supplier1
129802,129802,supplier1
138234,138234,supplier1
196471,196471,supplier1
237635,237635,supplier1
362332,362332,supplier1
2478,2478,supplier3
5630,5630,supplier3
200476,200476,supplier4
225876,225876,supplier4
252306,252306,supplier4
1606758,1606758,supplier4
1959055,1959055,supplier4
135181,135181,supplier1
175554,175554,supplier1
495544,495544,supplier1
107737,107737,supplier1
121571,121571,supplier1
271091,271091,supplier1
129989,129989,supplier1
11739,11739,supplier3
13683,13683,supplier3
14886,14886,supplier3
19975,19975,supplier3
29098,29098,supplier3
231088,231088,supplier3
384525,384525,supplier4
1032178,1032178,supplier4
1167878,1167878,supplier4
1547138,1547138,supplier4
1594508,1594508,supplier4
1770548,1770548,supplier4
1812828,1812828,supplier4
172619,172619,supplier1
106569,106569,supplier1
336419,336419,supplier1
378397,378397,supplier1
112974,112974,supplier1
137940,137940,supplier1
258886,258886,supplier1
388288,388288,supplier1
132108,132108,supplier1
11305,11305,supplier3
16620,16620,supplier3
28015,28015,supplier3
33453,33453,supplier3
43102,43102,supplier3
142484,142484,supplier4
23994,23994,supplier4
275465,275465,supplier4
295375,295375,supplier4
1434948,1434948,supplier4
578499,578499,supplier1
213388,213388,supplier1
226004,226004,supplier1
219178,219178,supplier1
298177,298177,supplier1
108307,108307,supplier1
111946,111946,supplier1
133899,133899,supplier1
18009,18009,supplier3
117012,117012,supplier4
124347,124347,supplier4
213156,213156,supplier4
1049358,1049358,supplier4
1077478,1077478,supplier4
1147108,1147108,supplier4
1383948,1383948,supplier4
2005075,2005075,supplier4
2022155,2022155,supplier4
345307,345307,supplier1
235039,235039,supplier1
321617,321617,supplier1
151589,151589,supplier1
179962,179962,supplier1
229301,229301,supplier1
252450,252450,supplier1
134242,134242,supplier1
248809,248809,supplier1
122263,122263,supplier1
126094,126094,supplier1
213535,213535,supplier1
313191,313191,supplier1
341723,341723,supplier1
224724,224724,supplier1
1543,1543,supplier3
18898,18898,supplier3
22379,22379,supplier3
31696,31696,supplier3
36774,36774,supplier3
193076,193076,supplier4
353155,353155,supplier4
